Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_12S_Oct2019_604	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_605	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:61.0504329004;family:32.5547619048;genus:32.5547619048;species:30.8801587302;	KC136482.1;LC421690.1;LC146222.1;LC421698.1;EF616892.1;AB972198.1;KC136483.1;AP014538.1;AP006009.1;LC421697.1;AB938146.1;FJ416614.1;LC036780.1;AP006010.1;LC208773.1;LC500739.1;LC006297.3;LC036741.1;DQ872160.1;LC499270.1;FJ171339.1;LC474184.1;LC069537.1;AB128866.1;AB378749.1;MF621710.1;LC055190.1;MF621711.1;KX641477.1;AP004447.1;AB969964.1;KC136457.1;LC069635.1;LC069607.1;AB214535.1;LC021271.1;AB236130.1;MH248193.1;AP009169.1;AB236129.1;LC458159.1;AB236128.1;KM282429.1;KM030438.1;LC278180.1;LC421736.1;LC278030.1;LC278172.1;LC278029.1;AB972128.1;LC458214.1;LC421737.1;LC421735.1;LC278171.1;KC136370.1;LC037134.1;KC136517.1;LC340157.1;MH248192.1;LC036807.1;LC340159.1;MG748713.1;AP006031.1;LC421721.1;LC092102.1;LC499379.1;AP006814.1;KR152239.1;LC104689.1;KR152255.1;LC049802.1;KR152240.1;KC136518.1;LC104688.1;LC499334.1;LC458332.1;LC026623.1;AP017437.1;LC049824.1;LC499336.1;LC278261.1;LC458331.1;LC145958.1;AF294451.1;KT337335.1;KT337337.1;KT337336.1
forward_12S_Oct2019_606	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Uranoscopiformes;family:Ammodytidae;genus:Ammodytes;species:Ammodytes dubius;	superkingdom:100.0;phylum:100.0;class:100.0;order:31.6666666667;family:31.6666666667;genus:31.6666666667;species:26.8333333333;	LC146225.1;LC421697.1;AP014538.1;KC136476.1;AB972198.1;LC421698.1;DQ336169.1;LC036780.1;KT723026.1;KT723027.1;AB974643.1;AB734122.1;AB128870.1;AB969982.1;MH248187.1;AB969963.1;AP014536.1;LC021271.1;LC146237.1;AB236129.1;AB214535.1;LC458159.1;MH248193.1;KC136465.1;AB236130.1;LC026677.1;AB236128.1;AB969895.1;KC136518.1;LC499373.1;LC499342.1;AY372791.1;KC136517.1;KC136370.1;LC340157.1;MH248192.1;LC340159.1;MG748713.1;LC036807.1;LC037065.1;KM233212.1;KC136575.1;LC458332.1;KJ420577.1;LC458333.1;AB972126.1;AP012497.1;AB972222.1;LC091820.1
forward_12S_Oct2019_607	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Lutjaniformes;family:Lutjanidae;genus:Lutjanus;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:49.8455433455;family:48.3455433455;genus:48.3455433455;species:20.2902319902;	LC458134.1;LC146225.1;LC421690.1;MG255111.1;LC146222.1;LC036779.1;LC208773.1;LC006297.3;LC500739.1;LC036780.1;JQ010987.1;JQ010988.1;AB938146.1;AB378749.1;LC021264.1;MF621710.1;MG255113.1;MF621711.1;FJ416614.1;LC474184.1;AB378750.1;LC069537.1;LC036741.1;LC278087.1;LC499280.1;LC146230.1;LC499270.1;FJ171339.1;LC036790.1;MH248193.1;AB214535.1;AB236128.1;AB236129.1;AB236130.1;LC021271.1;MH248192.1;MG748713.1;LC036807.1;LC340159.1;LC069633.1;LC069635.1;LC340157.1;LC069607.1;KM282429.1;KC136370.1;LC146280.1;KC136517.1;AP017437.1;LC026623.1;KC136518.1;LC145861.1;AB969881.1;LC091820.1;KC593372.1;AJ315621.1;MH377833.1;LC499144.1
forward_12S_Oct2019_608	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Lutjanidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:59.230952381;family:40.769047619;genus:39.5773809524;species:38.3273809524;	KC136482.1;LC146222.1;MG255111.1;AB972198.1;KC136483.1;EF616892.1;LC421697.1;AP006009.1;FJ416614.1;MG255113.1;AB938146.1;AB972189.1;DQ872160.1;AP006010.1;LC036796.1;LC069537.1;AB378750.1;MF621710.1;AB128867.1;MF621711.1;LC474184.1;AB128869.1;FJ171339.1;KC136457.1;JQ010988.1;JQ010987.1;LC499335.1;MH248193.1;LC069633.1;LC069635.1;AB236130.1;AB236128.1;AB236129.1;LC021271.1;AB214535.1;KC136465.1;LC092033.1;AP006025.1;LC421722.1;LC340157.1;KM282429.1;AY372791.1;MH248192.1;LC092102.1;LC340159.1;MG748713.1;LC278186.1;LC036807.1;LC421721.1;LC278185.1;LC278257.1;AP006031.1;LC499334.1;LC146329.1;KC136517.1;KC136518.1
forward_12S_Oct2019_609	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Scombriformes;family:Scombropidae;genus:Scombrops;species:Microcanthus strigatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:38.1761904762;family:38.1761904762;genus:38.1761904762;species:27.1095238095;	LC421690.1;MG255111.1;LC208773.1;LC036780.1;LC421698.1;KC136483.1;KC136476.1;AP014538.1;LC421697.1;MG255113.1;FJ416614.1;AB938146.1;JQ010987.1;LC499270.1;LC499280.1;LC146230.1;AB128868.1;AB378749.1;AB739063.1;LC069537.1;MF621711.1;LC104345.1;AB128871.1;AB969963.1;AB734122.1;KC136579.1;AP011063.1;LC146237.1;LC458159.1;LC069635.1;KM658974.1;AB236128.1;AB236129.1;AB236130.1;MH248193.1;AB214535.1;LC021271.1;KC136575.1;KR152235.1;KC136370.1;MG748713.1;MH248192.1;LC340159.1;LC036807.1;LC278180.1;LC092033.1;LC421722.1;KU985150.1;AP017437.1;LC026623.1;LC146280.1;KC136517.1;KY798454.1;KR152242.1;AF294444.1;KR152247.1;KR152255.1;KR152237.1;KR152233.1;KR152238.1;KR152245.1;KR152239.1;KR152252.1;KR152244.1;LC340157.1;LC421749.1;KJ420577.1;LC037068.1;AB972126.1;LC278186.1;LC092102.1;KR152250.1;LC146283.1;KC136518.1;LC499334.1;LC278250.1;LC458329.1;LC145958.1;LC278258.1;LC278260.1;KT337336.1;AF294451.1;KT337338.1;KT337337.1;LC037067.1;LC499336.1;KY798456.1;KY798457.1
forward_12S_Oct2019_610	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:66.6571428571;genus:66.6571428571;species:66.6571428571;	KC136482.1;AP006009.1;LC421697.1;LC421698.1;KC136483.1;EF616892.1;AB972198.1
forward_12S_Oct2019_611	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Lutjanidae;genus:Lutjanus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:58.9535714286;family:41.0464285714;genus:41.0464285714;species:33.4023809524;	KC136482.1;LC146225.1;LC458134.1;LC421690.1;MG255111.1;LC146222.1;AB938146.1;FJ416614.1;MG255113.1;HQ391897.1
forward_12S_Oct2019_612	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Scombriformes;family:Scombropidae;genus:Scombrops;species:Microcanthus strigatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:25.75;family:25.0;genus:25.0;species:17.2;	MG255111.1;LC421690.1;LC421698.1;LC036741.1;LC006297.3;LC055190.1;LC036780.1;AB972242.1;AB741956.1;AB128867.1;AB734122.1;AP004447.1;AB969964.1;AB969963.1;LC036864.1;LC458159.1;LC146237.1;AB236129.1;AB236130.1;AB214535.1;LC021271.1;AB236128.1;MH248193.1;KC136370.1;LC026623.1;AP017437.1;LC037134.1;LC340157.1;KC136536.1;KM233212.1;AP006031.1;LC091898.1;AP006814.1;LC499379.1;KC136517.1;LC104689.1;KC136518.1;LC104688.1;MG748713.1;LC340159.1;LC036807.1;MH248192.1;AP012497.1;KC136395.1;KC136577.1;KR152238.1;KR152249.1;KR152239.1;LC049802.1;KR152248.1;KR152240.1;KR152244.1;KR152243.1;KY798454.1;KT600965.1;LC458332.1;LC278256.1;LC278253.1;KR152250.1;AY700235.1;KY798453.1;KT337336.1;KT337337.1
forward_12S_Oct2019_613	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Lutjanidae;genus:Lutjanus;species:Micropterus floridanus;	superkingdom:100.0;phylum:100.0;class:100.0;order:54.9206349206;family:28.8515873016;genus:28.8515873016;species:19.4166666667;	KC136482.1;MG255111.1;LC458134.1;LC146222.1;LC421690.1;LC146225.1;HQ391897.1;KC136483.1;AP006009.1;EF616891.1;LC421697.1;KC136466.1;KC136476.1;AB972198.1;LC421698.1;AP014538.1;EF616892.1;MG255113.1;AB938146.1;FJ416614.1;LC036780.1;LC208773.1;LC006297.3;LC036779.1;LC500739.1;DQ336169.1;AB972218.1;AB974539.1
forward_12S_Oct2019_614	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Monodactylidae;genus:Monodactylus;species:Monodactylus argenteus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AP009169.1
forward_12S_Oct2019_615	1	0	0	Unclassified		
forward_12S_Oct2019_616	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Grammistes;species:Grammistes sexlineatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AP017437.1;LC026623.1
forward_12S_Oct2019_617	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Microcanthus;species:Microcanthus strigatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:39.0;family:33.75;genus:32.0;species:32.0;	LC146225.1;AP006009.1;KC136476.1;KC136483.1;LC036780.1;LC036741.1;LC055190.1;AP011066.1;AB128866.1;AB741956.1;LC104345.1;AB214535.1;AB236129.1;AB236128.1;LC146237.1;LC021271.1;KC136485.1;AB236130.1;MH248193.1;KC136465.1;KM030438.1;AY372791.1;AB972128.1;LC278029.1;LC278030.1;LC421736.1;LC421737.1;LC421735.1;LC278171.1;LC278172.1;LC458214.1;LC037134.1;KC136517.1;KC136370.1;LC340157.1;MH248192.1;LC036807.1;MG748713.1;LC340159.1;AF055600.1;LC037065.1;LC499392.1;KM233212.1;AP006814.1;LC499379.1;KR152243.1;KR152248.1;KC136518.1;KR152245.1;HG799088.2;LC104689.1;KY798455.1;KR152254.1;AF294445.1;LC049802.1;LC104688.1;AH013010.2;LC458333.1;LC421748.1;LC458332.1;AH013012.2;AP017437.1;LC026623.1;KR152250.1;KF709954.1;LC145958.1;KU985150.1;LC146329.1;AB972222.1;KT337338.1;KT337333.1;KT337336.1;KT337329.1
forward_12S_Oct2019_618	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Scombropidae;genus:Scombrops;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:25.9761904762;family:25.3523809524;genus:25.3523809524;species:25.3523809524;	LC458134.1;LC146225.1;MG255111.1;JN182927.1;KC136483.1;AB972198.1;LC421697.1;LC500739.1;LC036779.1;KT345965.1;AB128868.1;AB739063.1;AB128869.1;LC104345.1;AB734122.1;AB969982.1;KT211424.1;AB969964.1;AB236128.1;AB236129.1;AB236130.1;AB214535.1;LC021271.1;KC136465.1;LC026677.1;LC340157.1;AP014536.1;MH248192.1;MG748713.1;LC036807.1;LC340159.1;KC136517.1;AP006031.1;LC037065.1;LC278257.1;KC136518.1;AB972206.1
forward_12S_Oct2019_619	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Monodactylidae;genus:Monodactylus;species:Monodactylus argenteus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AP009169.1
forward_12S_Oct2019_620	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:52.8833333333;family:34.7523809524;genus:34.7523809524;species:33.3773809524;	KC136482.1;LC146222.1;LC421690.1;LC421697.1;EF616892.1;AP006009.1;LC421698.1;AB972198.1;KC136483.1;MG255113.1;FJ416614.1;AB938146.1;DQ336169.1;LC500739.1;AP006010.1;LC006297.3;LC208773.1;LC036779.1;DQ872160.1;AB972189.1;LC036796.1;KT345965.1;LC499280.1;LC069537.1;AB741956.1;AP011066.1;LC474184.1;FJ171339.1;AB378750.1;AB378749.1;MF621711.1;MF621710.1;AB128867.1;AB128871.1;AP004447.1;JQ010987.1;KC136457.1;AB236130.1;MH248187.1;LC021271.1;AP009169.1;MH248193.1;AB236128.1;LC146237.1;KC136579.1;KM658974.1;AB214535.1;AB236129.1;LC069607.1;LC069633.1;KM282429.1;KY965072.1;AP014536.1;LC421722.1;LC092033.1;LC278180.1;KC136370.1;KC136517.1;LC340157.1;MH248192.1;MG748713.1;LC340159.1;LC036807.1;LC499392.1;AP006031.1;KR152247.1;KR152238.1;LC146283.1;KR152243.1;AF294444.1;KC136518.1;KY798455.1;AH013010.2;LC278259.1;LC458332.1;AH013012.2;AP017437.1;LC026623.1;LC499336.1;LC458331.1;LC499391.1;LC278258.1;AP012497.1;KU985150.1;LC146329.1;LC458090.1;KT337338.1
forward_12S_Oct2019_621	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:66.130952381;family:43.1527777778;genus:43.1527777778;species:42.4027777778;	KC136482.1;LC421690.1;KC136483.1;KC136476.1;EF616892.1;LC421698.1;EF616891.1;AP006009.1;LC421697.1;AB972198.1;FJ416614.1;AB972189.1;AP006010.1;DQ872160.1;LC208773.1;LC036779.1;LC006297.3;LC036796.1;JN182927.1;LC474184.1;AB378749.1;MF621710.1;MF621711.1;AB128866.1;AB739063.1;LC069537.1;KX641477.1;KX373635.1;AB128871.1;AB128870.1;AB734122.1;AB236129.1;LC021271.1;KC136465.1;KC136579.1;AB236130.1;AP011063.1;AB236128.1;KC136485.1;AB214535.1;MH248193.1;LC458159.1;AP014536.1;KM282429.1;AY372791.1;KC136517.1;KR152235.1;KC136370.1;LC340157.1;LC340159.1;MG748713.1;MH248192.1;LC036807.1;AF055600.1;KC136518.1;LC458332.1;AB974570.1;LC421749.1;KJ420577.1;LC278256.1;AB972126.1;LC421748.1;LC458330.1;LC278255.1;LC278260.1
forward_12S_Oct2019_622	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:68.6416666667;family:42.1583333333;genus:42.1583333333;species:39.0583333333;	KC136482.1;LC146225.1;MG255111.1;AP014538.1;EF616892.1;AP006009.1;LC421697.1;AB972198.1;KC136483.1;LC421698.1;AB938146.1;LC006297.3;LC036741.1;AP006010.1;LC036796.1;LC499280.1;AB974643.1;AB378749.1;AP011066.1;MF621710.1;LC474184.1;AB128866.1;AB378750.1;JQ010988.1;MH248193.1;AB214535.1;AB236128.1;LC021271.1;AB236130.1;AB236129.1;LC026677.1;KM282429.1;KM030438.1;LC340157.1;LC421722.1;LC421736.1;LC421737.1;LC278172.1;LC458214.1;AB972128.1;LC278029.1;LC421735.1;LC278030.1;LC278171.1;KC136517.1;LC037134.1;KC136370.1;MG748713.1;MH248192.1;LC036807.1;LC340159.1;LC092102.1;KC136575.1;AP006814.1;LC499379.1;LC146283.1;LC049802.1;KR152245.1;LC104688.1;LC104689.1;KC136518.1;AF294444.1;KR152255.1;KR152244.1;KR152249.1;KR152254.1;LC499334.1;AH013010.2;LC421749.1;LC421748.1;LC278256.1;AB972126.1;AP017437.1;LC026623.1;LC049824.1;LC385137.1;LC500740.1;AB972222.1;KT337338.1;AF294451.1;KY798453.1
forward_12S_Oct2019_623	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis japonicus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AB040676.1;LC020920.1;LC468861.1;KF765500.2;LC468860.1;AF417342.1;LC385201.1;AP017957.1;LC499587.1
forward_12S_Oct2019_624	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Scombrops;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:43.2555555556;family:27.6222222222;genus:26.1928571429;species:23.2904761905;	LC146222.1;LC421690.1;LC146225.1;LC458134.1;LC421698.1;AP006009.1;EF616892.1;KC136476.1;KC136466.1;KC136483.1;LC421697.1;AB972198.1;FJ416614.1;MG255113.1;LC036779.1;AB972189.1;LC500739.1;LC036780.1;LC036796.1;LC499280.1;LC146230.1;LC499270.1;LC036741.1;LC055190.1;FJ171339.1;AB378750.1;MF621710.1;AB741956.1;AB378749.1;AB128867.1;AB972242.1;KX373635.1;LC104345.1;EF616894.1;JQ010988.1;KC136457.1;KT211424.1;KM658974.1;AP009169.1;LC021266.1;LC069607.1;LC069633.1;KM282429.1;KM030438.1;AP014536.1;LC278180.1;LC092033.1;AP006025.1;LC421735.1;AB972128.1;LC278030.1;LC421737.1;LC421736.1;LC278029.1;LC278171.1;LC458214.1;LC278172.1;LC037134.1;LC104688.1;LC499392.1;LC421721.1;LC092102.1;LC278186.1;AP006814.1;LC499379.1;KR152252.1;LC049802.1;LC104689.1;KR152251.1;KR152248.1;AH013010.2;LC037068.1;AB972126.1;LC421749.1;AP017437.1;LC026623.1;KR152250.1;LC049824.1;LC385137.1;KJ872545.1;AP012497.1;AY700235.1;AY700244.1;LC146329.1;LC037066.1
forward_12S_Oct2019_625	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Lutjaniformes;family:Lutjanidae;genus:Lutjanus;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:48.8525946276;family:48.8525946276;genus:45.8525946276;species:23.8478077478;	LC421690.1;LC458134.1;LC146222.1;MG255111.1;LC146225.1;LC208773.1;LC500739.1;LC006297.3;LC036780.1;LC036779.1;AB938146.1;FJ416614.1;MG255113.1;LC021264.1;JQ010987.1;AB969982.1;JQ010988.1;LC499280.1;LC146230.1;LC499270.1;LC036790.1;LC069537.1;LC474184.1;AB378750.1;MF621711.1;MF621710.1;LC278087.1;FJ171339.1;AB378749.1;AB974643.1;LC499338.1;LC499335.1;AP009169.1;LC146237.1;LC458159.1;KM658974.1;LC069607.1;LC069633.1;LC069635.1;AB969972.1;LC146323.1;AP006825.1;AB236128.1;LC037065.1;AB208649.1;KM282429.1;LC146283.1;LC500740.1;LC421722.1;LC278180.1;AP006025.1;LC092033.1;LC069622.1;LC069611.1;LC146280.1;LC499336.1;LC499334.1;LC278185.1;LC278186.1;LC092102.1;LC421721.1;LC499553.1
forward_12S_Oct2019_626	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:88.6666666667;family:88.6666666667;genus:88.6666666667;species:85.0;	DQ336169.1;KT373795.1;AB974539.1;MF966982.1;LC049667.1;MF966980.1;MF966978.1;MF966985.1;MF966979.1;MF966984.1;MF966981.1;MF966983.1;AB974541.1;KR075132.1;KT345965.1;LC006297.3;LC036779.1;LC500739.1;LC208773.1;LC036780.1;KJ907732.1;LC055190.1;EF616891.1;KC136476.1;KF815977.1;KC136466.1
forward_12S_Oct2019_627	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_628	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:96.5;species:96.5;	AY279632.1;KY815300.1;LC499368.1;AB974580.1;AY279589.1;LC104651.1;KY421797.1;AY279628.1;LC146271.1;AY279611.1;AJ810137.1;AB972165.1;AJ810136.1;KY815304.1;KY815292.1;LC021281.1;AY279590.1;AY279635.1;LC037152.1
forward_12S_Oct2019_629	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Lutjanidae;genus:Lutjanus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:54.425;family:35.7464285714;genus:26.4130952381;species:25.444047619;	KC136482.1;LC458134.1;MG255111.1;LC146225.1;LC146222.1;FJ416614.1;MG255113.1;AB938146.1;LC421697.1;AP006009.1;LC421698.1;KC136483.1;AB972198.1;EF616892.1;LC499270.1;LC499280.1;LC036741.1;LC146230.1;DQ872160.1;LC036779.1;FJ171339.1;AB972189.1;LC500739.1;AP006010.1;LC208773.1;LC006297.3;LC036796.1;AB378749.1;LC069537.1;AB378750.1;LC474184.1;MF621711.1;LC021264.1;MF621710.1;JQ010988.1;JQ010987.1;KC136457.1;LC458159.1;AB236128.1;AB236130.1;AB214535.1;LC021271.1;MH248193.1;AB236129.1;AP009169.1;KM658974.1;LC069635.1;LC069633.1;LC069607.1;KM030438.1;LC092033.1;LC278180.1;AP006025.1;LC421722.1;LC421736.1;AB972128.1;LC458214.1;LC278171.1;LC421735.1;LC421737.1;LC278172.1;LC278029.1;LC278030.1;KC136517.1;LC037134.1;KC136370.1;LC340157.1;LC340159.1;MG748713.1;MH248192.1;LC036807.1;LC092102.1;LC421721.1;LC278186.1;LC278185.1;LC146280.1;LC499379.1;AP006814.1;LC146283.1;KC136518.1;LC104688.1;LC049802.1;LC104689.1;LC049824.1;LC499336.1
forward_12S_Oct2019_630	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.25;species:99.25;	AY279632.1;KY815300.1;AY279611.1;AJ810137.1;LC146271.1;KY815304.1;AB972165.1;AB974580.1;LC499368.1
forward_12S_Oct2019_631	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:62.7396825397;family:36.5908730159;genus:36.5908730159;species:36.5908730159;	KC136482.1;LC146222.1;MG255111.1;LC421690.1;LC146225.1;LC458134.1;MG255113.1;FJ416614.1;AB938146.1;LC421697.1;AP006009.1;KC136483.1;LC146230.1;LC499270.1;LC499280.1;LC499279.1;LC499271.1;LC278087.1;LC036741.1;LC499383.1;FJ171339.1;AB378750.1;MF621710.1;LC474184.1;MF621711.1;LC069537.1;AB378749.1;AB969912.1;EF616894.1;KT211424.1;AB974644.1;KM658974.1;AP009169.1;LC069633.1;LC069635.1;LC069607.1;LC069551.1;AB969895.1;EF616874.1;KM030438.1;KC136517.1;LC421722.1;LC278180.1;LC092033.1;AP006025.1;LC421736.1;LC458214.1;AB972128.1;LC278029.1;LC421735.1;LC278171.1;LC278030.1;LC421737.1;LC278172.1;KC136518.1;LC037134.1;MH377810.1;KX364159.1;LC340157.1;LC278186.1;LC092102.1;LC278185.1;LC421721.1;LC499379.1;LC146280.1;AP006814.1;LC499336.1;LC146283.1;LC104689.1;LC049802.1;LC104688.1;LC499334.1;MH377820.1;LC026623.1;AP017437.1;LC049824.1;AF191147.1;DQ996312.1;AP002939.1;LC091876.1;JQ286004.1
forward_12S_Oct2019_632	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:90.3666666667;family:90.3666666667;genus:90.3666666667;species:82.3333333333;	DQ336169.1;AB974539.1;KT373795.1;LC049667.1;KT345965.1;MF966978.1;MF966980.1;AB974541.1;MF966982.1;KR075132.1;MF966984.1;MF966981.1;MF966985.1;MF966979.1;MF966983.1;KC136476.1;KC136466.1;EF616891.1;AP014538.1;AP014536.1;LC208773.1;LC036780.1;LC036779.1;LC500739.1;LC006297.3
forward_12S_Oct2019_633	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091575.1;NC_041097.1;LC091576.1;LC468861.1;AB040676.1;KF765500.2;LC468860.1;LC385201.1;LC499587.1;AP017957.1;AF417342.1;LC020920.1;AP009137.1;LC340033.1;AP011557.1
forward_12S_Oct2019_634	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.0;species:99.0;	AY279632.1;KY815300.1;LC104651.1;LC146271.1;AY279611.1;AJ810137.1;AJ810136.1;KY815304.1;LC499368.1;AB974580.1;AY279589.1;AY279628.1;AB972165.1
forward_12S_Oct2019_635	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Lutjanidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:47.2196969697;family:31.346969697;genus:26.1103896104;species:25.3766233766;	LC146222.1;KC136482.1;AB938146.1;MG255113.1;FJ416614.1;LC421690.1;LC499280.1;LC499270.1;LC499271.1;MH248169.1;LC421698.1;LC421697.1;AP006009.1;AB972198.1;KC136483.1;LC026679.1;AB969996.1;LC006297.3;AB972189.1;LC036741.1;LC036780.1;LC208773.1;LC500739.1;LC069537.1;MF621710.1;LC474184.1;MF621711.1;AB378749.1;JQ010988.1;KC136457.1;KF430626.1;AB236128.1;MH248193.1;AB236130.1;AB214535.1;AB236129.1;KC136517.1;LC021271.1;LC458159.1;EF616821.1;LC069635.1;KM030438.1;KC136518.1;LC036792.1;AB972085.1;AP009172.1;AP006025.1;LC421736.1;LC278029.1;LC458214.1;LC421735.1;LC278030.1;AB972128.1;LC278171.1;LC421737.1;LC278172.1;LC499336.1;LC037134.1;KC136370.1;LC340157.1;LC340159.1;LC036807.1;MH248192.1;MG748713.1;LC092102.1;LC421721.1;AY700236.1;AP006814.1;LC499379.1;LC104689.1;LC049802.1;LC104688.1;AY700275.1;AP017437.1;LC026623.1;LC049824.1;AB974536.1
