fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	sum taxonomy
forward_c19_fishcard_462	1	0	0	
forward_c19_fishcard_463	1	0	0	
forward_c19_fishcard_464	1	0	0	
forward_c19_fishcard_465	1	0	0	
forward_c19_fishcard_466	1	0	0	
forward_c19_fishcard_467	1	0	0	
forward_c19_fishcard_468	1	0	0	
forward_c19_fishcard_469	1	0	0	
forward_c19_fishcard_470	1	0	0	
forward_c19_fishcard_471	1	0	0	
forward_c19_fishcard_472	1	0	0	
forward_c19_fishcard_473	1	0	0	
forward_c19_fishcard_474	1	0	0	
forward_c19_fishcard_475	1	0	0	
forward_c19_fishcard_476	1	0	0	
forward_c19_fishcard_477	1	0	0	
forward_c19_fishcard_478	1	0	0	
forward_c19_fishcard_479	1	0	0	
forward_c19_fishcard_480	1	0	0	
forward_c19_fishcard_481	1	0	0	
forward_c19_fishcard_482	1	0	0	
forward_c19_fishcard_483	1	0	0	
forward_c19_fishcard_484	1	0	0	
forward_c19_fishcard_485	1	0	0	
forward_c19_fishcard_486	1	0	0	
forward_c19_fishcard_487	1	0	0	
forward_c19_fishcard_488	1	0	0	
forward_c19_fishcard_489	1	0	0	
forward_c19_fishcard_490	1	0	0	
forward_c19_fishcard_491	1	0	0	
forward_c19_fishcard_492	1	0	0	
forward_c19_fishcard_493	1	0	0	
forward_c19_fishcard_494	1	0	0	
forward_c19_fishcard_495	1	0	0	
forward_c19_fishcard_496	1	0	0	
forward_c19_fishcard_497	1	0	0	
forward_c19_fishcard_498	1	0	0	
forward_c19_fishcard_499	1	0	0	
forward_c19_fishcard_500	1	0	0	
forward_c19_fishcard_501	1	0	0	
forward_c19_fishcard_502	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_503	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_504	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_505	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_506	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_507	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_508	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_509	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_510	1	0	0	
forward_c19_fishcard_511	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_512	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_513	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_514	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_515	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_516	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_517	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_518	1	0	0	
forward_c19_fishcard_519	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_520	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_521	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_522	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_523	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_524	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_525	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_526	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_527	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_528	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_529	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_530	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_531	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_532	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_533	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_534	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
forward_c19_fishcard_535	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_536	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_537	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_538	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_539	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_540	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_541	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_542	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_543	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_544	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_545	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_546	1	0	0	
forward_c19_fishcard_547	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_548	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_549	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_550	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_551	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_552	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_553	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_554	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_555	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_556	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_557	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_558	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_559	1	0	0	
forward_c19_fishcard_560	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_561	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_562	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_563	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_564	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_565	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_566	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_567	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_568	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_569	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_570	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_571	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_572	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_573	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_574	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_575	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_576	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_577	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_578	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_579	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_580	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_581	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_582	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_583	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_584	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_585	1	0	0	
forward_c19_fishcard_586	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_587	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_588	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_589	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_590	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_591	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_592	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_593	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_594	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_595	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_596	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_c19_fishcard_597	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_598	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_599	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_600	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_601	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_602	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_603	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_604	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_605	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_606	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_607	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_608	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_609	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_610	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_611	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_612	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_613	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_614	1	0	0	
forward_c19_fishcard_615	1	0	0	
forward_c19_fishcard_616	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_617	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_618	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_619	1	0	0	
forward_c19_fishcard_620	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_621	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_622	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_623	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;;
forward_c19_fishcard_624	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_625	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_626	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_627	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_628	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_629	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_630	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_631	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_632	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_633	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_634	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_635	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_636	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_637	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_638	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_639	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_640	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_641	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_642	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_643	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_644	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_645	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_646	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_647	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_648	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_649	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_650	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_651	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_652	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_653	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_654	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_655	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_656	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_657	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_658	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_659	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_660	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_661	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_662	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_663	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_664	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_665	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_666	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_667	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_668	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_669	1	0	0	
forward_c19_fishcard_670	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_671	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_672	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_673	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_674	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_675	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_676	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_677	1	0	0	
forward_c19_fishcard_678	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_679	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_680	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_681	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_682	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_683	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_684	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_685	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_686	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_687	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_688	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_689	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;;
forward_c19_fishcard_690	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_c19_fishcard_691	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_692	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_693	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_694	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_695	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_696	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_697	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_698	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_699	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_700	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_701	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_702	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_703	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_704	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_705	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_706	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_707	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_708	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_709	1	0	0	
forward_c19_fishcard_710	1	0	0	
forward_c19_fishcard_711	1	0	0	
forward_c19_fishcard_712	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_713	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_714	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_715	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_716	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_717	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_718	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_719	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_720	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_721	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_722	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_723	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_724	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_725	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_726	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_727	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_c19_fishcard_728	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_729	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_730	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_731	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_732	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_733	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_734	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
