fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_c19_fishcard_621	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.05;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1
forward_c19_fishcard_622	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.65;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1
forward_c19_fishcard_623	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis japonicus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:89.4;species:89.4;	KF765500.2;LC468860.1;AF417342.1;LC499587.1;AP017957.1;LC385201.1;LC468861.1;AB040676.1;LC020920.1;FISHCARD_miu_267.1
forward_c19_fishcard_624	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.05;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1
forward_c19_fishcard_625	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.5;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1
forward_c19_fishcard_626	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:98.1428571429;family:98.1428571429;genus:98.1428571429;species:98.1428571429;	FISHCARD_miu_343.1;DQ336169.1;AB974539.1;KT373795.1;MF966982.1;MF966978.1;LC049667.1;MF966980.1;MF966985.1;MF966984.1;MF966979.1;MF966981.1;AB974541.1;KR075132.1;MF966983.1;KT345965.1;LC208773.1;LC006297.3;LC500739.1;LC036780.1;LC036779.1;LC055190.1;KJ907732.1;EF616891.1;KC136476.1;KF815977.1;KC136466.1
forward_c19_fishcard_627	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.15;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;KC136482.1
forward_c19_fishcard_628	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:56.3333333333;species:56.3333333333;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1;LC499368.1;AB974580.1;AY279589.1;LC104651.1;LC146271.1;AY279628.1;AY279611.1;KY421797.1;AJ810137.1;AB972165.1;AJ810136.1;KY815292.1;KY815304.1;AY279635.1;LC021281.1;AY279590.1;LC037152.1
forward_c19_fishcard_629	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.45;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1
forward_c19_fishcard_630	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:55.1666666667;species:55.1666666667;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1;LC104651.1;AY279611.1;KY421797.1;AY279589.1;AB972165.1;AB974580.1
forward_c19_fishcard_631	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:93.65;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1
forward_c19_fishcard_632	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_343.1;DQ336169.1;AB974539.1;KT373795.1;LC049667.1;MF966982.1;KT345965.1;MF966980.1;MF966978.1;AB974541.1;KR075132.1;MF966981.1;MF966985.1;MF966984.1;MF966979.1;MF966983.1;KC136476.1;KC136466.1;EF616891.1;AP014538.1;AP014536.1;LC500739.1;LC006297.3;LC036779.1;LC036780.1;LC208773.1
forward_c19_fishcard_633	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;NC_041097.1;FISHCARD_miu_020.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;KF765500.2;AB040676.1;LC499587.1;LC468861.1;LC020920.1;LC385201.1;AF417342.1;LC468860.1;AP017957.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_634	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:55.3333333333;species:55.3333333333;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1;LC104651.1;LC146271.1;AJ810137.1;AJ810136.1;KY815304.1;AB974580.1;AY279589.1;LC499368.1;AY279628.1;AB972165.1
forward_c19_fishcard_635	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.55;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1
forward_c19_fishcard_636	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	NC_041097.1;LC091576.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_020.1;FISHCARD_miu_267.1;LC499587.1;LC468860.1;LC020920.1;LC468861.1;LC385201.1;KF765500.2;AF417342.1;AB040676.1;AP017957.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1
forward_c19_fishcard_637	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:92.0;family:92.0;genus:92.0;species:92.0;	LC091575.1;NC_041097.1;LC091576.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC020920.1;LC385201.1;AF417342.1;AP017957.1;AB040676.1;LC499587.1;LC468860.1;KF765500.2;LC468861.1;LC340033.1;AP009137.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_638	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0333333333;family:80.0333333333;genus:79.8666666667;species:79.8666666667;	FISHCARD_miu_660.1;NC_041097.1;FISHCARD_miu_020.1;LC091575.1;LC091576.1;FISHCARD_miu_267.1;LC468861.1;AB040676.1;AP017957.1;LC468860.1;LC020920.1;KF765500.2;LC385201.1;AF417342.1;LC499587.1;LC340033.1;AP009137.1;FISHCARD_miu_268.1
forward_c19_fishcard_639	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0571428571;family:80.0571428571;genus:80.0571428571;species:79.7714285714;	LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;FISHCARD_miu_268.1;KF765500.2;LC468861.1;LC499587.1;AP017957.1;LC468860.1;LC020920.1;LC340033.1;AB040676.1;LC385201.1;AF417342.1;AP009137.1
forward_c19_fishcard_640	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.4;family:93.4;genus:93.4;species:93.4;	FISHCARD_miu_020.1;LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC468860.1;LC385201.1;AP017957.1;LC468861.1;AB040676.1;AF417342.1;LC499587.1;LC020920.1;KF765500.2;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_641	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	FISHCARD_miu_660.1;LC091576.1;LC091575.1;NC_041097.1;FISHCARD_miu_020.1;FISHCARD_miu_267.1
forward_c19_fishcard_642	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.0;family:93.0;genus:93.0;species:93.0;	LC091575.1;LC091576.1;NC_041097.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC020920.1;AB040676.1;LC499587.1;AF417342.1;LC468861.1;LC468860.1;LC385201.1;KF765500.2;AP017957.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_643	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	FISHCARD_miu_020.1;LC091576.1;LC091575.1;FISHCARD_miu_660.1;NC_041097.1;FISHCARD_miu_267.1;LC499587.1;AF417342.1;LC468861.1;KF765500.2;LC385201.1;LC468860.1;LC020920.1;AP017957.1;AB040676.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_644	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.8;family:93.8;genus:93.8;species:93.8;	LC091576.1;LC091575.1;NC_041097.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC468860.1;LC020920.1;LC499587.1;LC385201.1;KF765500.2;AF417342.1;AB040676.1;AP017957.1;LC468861.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_645	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0333333333;family:80.0333333333;genus:79.8666666667;species:79.8666666667;	LC091576.1;FISHCARD_miu_660.1;FISHCARD_miu_020.1;NC_041097.1;LC091575.1;FISHCARD_miu_267.1;LC499587.1;LC468861.1;KF765500.2;LC385201.1;AF417342.1;AP017957.1;LC468860.1;LC020920.1;AB040676.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1;AP011563.1
forward_c19_fishcard_646	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.4;family:91.4;genus:91.4;species:91.4;	FISHCARD_miu_020.1;LC091575.1;LC091576.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC020920.1;AB040676.1;KF765500.2;LC385201.1;LC468861.1;AF417342.1;LC499587.1;LC468860.1;AP017957.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_647	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	NC_041097.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;LC091575.1;LC091576.1;FISHCARD_miu_267.1;AP017957.1;LC499587.1;LC468861.1;LC020920.1;AB040676.1;LC385201.1;AF417342.1;LC468860.1;KF765500.2;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_648	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	FISHCARD_miu_020.1;LC091575.1;NC_041097.1;LC091576.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AP017957.1;LC468860.1;KF765500.2;AB040676.1;LC468861.1;LC385201.1;AF417342.1;LC020920.1;LC499587.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_649	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.8;family:91.8;genus:91.8;species:91.8;	LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC499587.1;LC468861.1;AP017957.1;LC468860.1;KF765500.2;AF417342.1;LC385201.1;LC020920.1;AB040676.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_650	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.2;family:93.2;genus:93.2;species:93.2;	FISHCARD_miu_020.1;LC091576.1;LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AB040676.1;KF765500.2;AF417342.1;AP017957.1;LC020920.1;LC499587.1;LC385201.1;LC468860.1;LC468861.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1
forward_c19_fishcard_651	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	NC_041097.1;FISHCARD_miu_020.1;LC091576.1;FISHCARD_miu_660.1;LC091575.1;FISHCARD_miu_267.1;LC020920.1;AF417342.1;LC499587.1;LC468861.1;LC385201.1;AB040676.1;AP017957.1;LC468860.1;KF765500.2;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_652	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.4333333333;family:80.4333333333;genus:78.2666666667;species:78.2666666667;	LC091576.1;FISHCARD_miu_020.1;NC_041097.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC385201.1;AF417342.1;AP017957.1;KF765500.2;AB040676.1;LC020920.1;LC468861.1;LC468860.1;LC499587.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_653	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.0;family:91.0;genus:91.0;species:91.0;	NC_041097.1;LC091576.1;FISHCARD_miu_020.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AP017957.1;LC385201.1;LC468861.1;LC468860.1;KF765500.2;LC499587.1;AB040676.1;AF417342.1;LC020920.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_654	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.8;family:91.8;genus:91.8;species:91.8;	LC091576.1;FISHCARD_miu_020.1;LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AB040676.1;LC499587.1;LC020920.1;LC468860.1;KF765500.2;AF417342.1;AP017957.1;LC385201.1;LC468861.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_655	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.2;family:93.2;genus:93.2;species:93.2;	FISHCARD_miu_020.1;NC_041097.1;LC091576.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC468860.1;LC020920.1;LC499587.1;KF765500.2;AB040676.1;AF417342.1;LC468861.1;LC385201.1;AP017957.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_656	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_020.1;LC091576.1;FISHCARD_miu_267.1;LC385201.1;AF417342.1;LC499587.1;AP017957.1;KF765500.2;LC468860.1;LC020920.1;AB040676.1;LC468861.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1
forward_c19_fishcard_657	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:93.4;family:93.4;genus:93.4;species:93.4;	LC091576.1;LC091575.1;FISHCARD_miu_020.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;FISHCARD_miu_268.1;AB040676.1;LC385201.1;KF765500.2;LC468861.1;LC020920.1;LC499587.1;LC468860.1;AF417342.1;AP017957.1;LC340033.1;AP009137.1
forward_c19_fishcard_658	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.8;family:91.8;genus:91.8;species:91.8;	LC091576.1;FISHCARD_miu_020.1;LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC499587.1;LC385201.1;AF417342.1;LC468860.1;LC020920.1;KF765500.2;AP017957.1;AB040676.1;LC468861.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1
forward_c19_fishcard_659	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:81.1476190476;family:81.1476190476;genus:78.1952380952;species:75.4095238095;	FISHCARD_miu_660.1;FISHCARD_miu_020.1;NC_041097.1;LC091576.1;LC091575.1;FISHCARD_miu_267.1;LC340033.1;AP009137.1;FISHCARD_miu_268.1;KF765500.2;LC385201.1;AF417342.1;AP017957.1;LC499587.1;LC020920.1;AB040676.1;LC468861.1;LC468860.1;AP011557.1;AP011563.1
forward_c19_fishcard_660	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;FISHCARD_miu_020.1;LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;KF765500.2;LC468860.1;LC468861.1;LC385201.1;LC499587.1;AP017957.1;AF417342.1;LC020920.1;AB040676.1;LC340033.1;AP009137.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_661	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AF417342.1;KF765500.2;LC499587.1;LC468861.1;LC385201.1;LC020920.1;LC468860.1;AB040676.1;AP017957.1;AP009137.1;LC340033.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_662	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	FISHCARD_miu_020.1;LC091575.1;LC091576.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AB040676.1;LC020920.1;LC385201.1;LC499587.1;KF765500.2;LC468860.1;LC468861.1;AF417342.1;AP017957.1;LC340033.1;AP009137.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_663	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.4;family:91.4;genus:91.4;species:91.4;	FISHCARD_miu_020.1;LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC468861.1;KF765500.2;LC020920.1;LC499587.1;AB040676.1;AF417342.1;LC468860.1;AP017957.1;LC385201.1;AP009137.1;LC340033.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_664	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;FISHCARD_miu_020.1;NC_041097.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;KF765500.2;LC499587.1;LC385201.1;LC468860.1;AB040676.1;AP017957.1;AF417342.1;LC468861.1;LC020920.1;AP009137.1;LC340033.1;FISHCARD_miu_268.1;AP011557.1
forward_c19_fishcard_665	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:91.6;family:91.6;genus:91.6;species:91.6;	FISHCARD_miu_020.1;LC091575.1;LC091576.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;KF765500.2;LC468861.1;AP017957.1;AB040676.1;LC499587.1;LC385201.1;LC020920.1;AF417342.1;LC468860.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_666	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0333333333;family:80.0333333333;genus:79.8666666667;species:79.8666666667;	LC091575.1;FISHCARD_miu_020.1;NC_041097.1;FISHCARD_miu_660.1;LC091576.1;FISHCARD_miu_267.1;AB040676.1;LC468860.1;LC020920.1;LC468861.1;LC499587.1;KF765500.2;AF417342.1;AP017957.1;LC385201.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_667	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	FISHCARD_miu_020.1;LC091576.1;NC_041097.1;LC091575.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AF417342.1;AP017957.1;LC468860.1;LC468861.1;LC385201.1;LC020920.1;KF765500.2;LC499587.1;AB040676.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
